NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
210061251614,2023,5,F,0,3,1,2,0,2,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,H,D,D,C,2,H,A,B,C,B,A,B,B,B,B,A,A,A,B,A,A,C,A,B,B
210061802097,2023,5,M,1,2,1,1,1,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1224,1192,1202,1214,475.7,601.7,559.7,489.0,DBBBAEACBDDEBDBCDCBAABCDDDBDDBBBDCDDABAADEADB,DBAADEABCDCCBDDCDEBBEEAAAECABCDCACDCDCBDAABCD,EBDE.CCEAEDAAAEBACCBAAECAAAECCBECACCABABEBDAC,CDDBDDDEBBDBBEBCEECDECDEBDEAEDBDEDBACDCDBADAB,1,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,1,100,120,120,120,100,560,B,D,C,B,11,D,A,B,C,A,A,B,B,A,B,A,A,A,B,A,A,E,A,A,B
210062027480,2023,3,M,1,1,1,1,1,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,E,E,B,B,3,D,A,C,C,A,A,B,B,B,A,B,A,A,C,A,B,D,A,B,B
210061907314,2023,1,M,1,1,1,3,0,1,,1,,,,,,,,3523107,Itaquaquecetuba,35,SP,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,F,G,D,D,4,G,C,C,C,B,A,B,A,B,A,A,A,A,B,A,A,D,A,B,B
210059876082,2023,15,F,2,3,1,1,17,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1222,1191,1201,1212,431.2,425.6,421.0,333.2,EBDADDBACBDBBCAAAEEDAEDEDBCCBAECDBDDDEDBAACAE,AAECBEEDBCDCACEACEDEDBCBCEABCCDEEBCACAABADEDA,ABEBECCCCCCDDACCDADBBDCBEAAECDEEBCDDAAEDBEDAB,AEADBECAADEBDDDEDDECBBDCBBCEDBDAEDDDBDDDDCDBD,0,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,1,100,100,80,100,80,460,C,B,A,A,3,A,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
210061911280,2023,2,F,1,3,1,3,0,1,,1,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1224,1192,1202,1214,532.7,568.1,596.4,351.4,CDBBAEBBCDBEBBDDDEDEABCBBABCECCDCEBDBAEEBCEEC,DBAADEADCACDBABEDEEBADCAABAEBADCACADACADBABCD,DCBCACCDAEDBACBBACAABAADAAAECBBEEBBCBDCDBDCAC,BEDBBDDCABDCEDBBEBCCBCAEBDDCADCDBDCBCBEAABDCD,0,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,1,160,180,160,160,160,820,D,D,C,B,3,C,A,B,C,B,A,B,B,B,A,B,A,A,D,B,A,D,A,A,B
210060995406,2023,4,F,1,1,1,1,1,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1221,1193,1204,1211,530.7,537.0,577.8,519.3,DBEECABCBDCEDBECBCCEDADAEBBCDBCBDADEBCEEBABEA,CCBECDAADCDADDEEBCAABEDDEECBEDABBDBDEDCDEBECE,AEBACBBCDCCDDBAEBBBBADDCCEACCDEAAEBBBEDDACAAB,CDACABDECCECBDEBCDABABBDADDEDCCDDABBCEEABCCBD,1,DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED,ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE,DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED,BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC,1,120,100,100,100,60,480,C,C,C,B,4,E,A,C,D,A,A,B,B,B,A,B,A,B,B,A,A,E,A,A,B
210061971135,2023,13,F,1,3,1,2,0,2,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,E,E,B,B,2,A,B,B,C,A,A,B,A,B,A,B,A,B,B,A,A,B,A,B,B
210061683626,2023,4,F,1,1,1,1,1,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1224,1192,1202,1214,456.8,633.2,574.6,655.7,CBBACADBCECECACADDEAABCBDDBAECDDBCDBBBEACDEBD,DBAADEADCCCDDDBCCDEBACEDABAABBAAECDAECBCAABCD,BCBDACBDAEBEACBAACCABEADAAACABBECDCAABDDCDDEC,EBDAADDEBECAAEBCCCDCEBEAAABCCCCBCDEDCCAEBACAD,0,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,1,160,120,120,160,100,660,H,F,F,D,4,E,A,B,C,A,A,B,B,B,A,B,A,A,B,A,B,D,A,B,B
210061420847,2023,5,F,1,3,1,1,0,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1224,1192,1202,1214,417.8,527.9,454.7,410.0,BECABBCEDABEAEEDCDAEEDABACEABDBAEBDCECEACAADA,DEDADEBDCDEDBACC*BEBECEAACAECDEAACEBABEDAABCD,DCBCABECABDAEDCDACBCBAEEDEABABBEDBDDCAABACCAB,ECCAEADDACEDADBDBEECBEDACBDAEEEACDBCCEDABECBB,1,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,1,120,160,120,120,120,640,E,E,C,B,2,B,A,B,B,A,A,B,B,B,A,B,A,A,B,A,A,B,B,B,B
