NU_SEQUENCIAL,NU_ANO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO
4001960,2024,,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1420,1383,1395,1408,543.3,579.3,530.0,603.0,EDEEBDAEBDDBCCEAACBDCADCCDDCBCBCBDCECCBBEBDDB,DECABBCEDEDDDEBBABACCAECECAEBAEAEBADBADADADCE,DCDEBECAECDDCBBEEBDAAAECBBDEDEABDDDACBECAABEC,CEDEECCDCCADCECCCBCDACEBCABDBBABCECEDBBCAACED,1,CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB,CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC,CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB,CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE,1,120,120,120,120,60,540
625898,2024,,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1420,1383,1395,1408,492.2,585.5,624.9,478.5,ECDEBADEEDCDBBBACEACBADCDDBCBDBECADCDAEEDCBCC,DECABDAEDBCDAEBBBECDCACCEBAEBEEAEEADEBDADEBDC,CAAAEECBECCDDCDDECBCBCBACBDEDDCEDBDDBBEDADEEB,DECADBCDADABCDCCBADDBCEDCEDECBDADACACADCBCCBD,0,CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB,CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC,CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB,CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE,1,120,160,120,120,140,660
4238630,2024,35912293,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1420,1383,1395,1408,387.4,407.9,459.7,384.4,DABBAACEABAECDABCABDABCEEDAAECBCCBBBEEBBBBABA,AABCECACADBCCBAEECDABABACBBCEACAABADBEBCCCCEC,DAACEECBEDABABBCEDBDADBCBCACBBBCDBEEEBBCABABA,DBBBCBCDCCBAABBDEEABAACADADCCCCCECCEADBBAAABB,1,CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB,CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC,CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB,CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE,1,100,120,120,120,40,500
2137563,2024,35446836,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1421,1386,1397,1409,519.9,640.8,596.2,652.9,DCCEEEBCAADBBCBACDAAAEAAAAADAAACAAAAAADACCAEA,ACECADAECEEECEDADCDDBEBCACDABCDEAECAEAEBDCACE,AACDAEBEDADDEAAABBADADECBBCBDDDDC.DEDDCECBECB,CDBDDADDBDDEDDDDBCDDADBDCDEDEDDABDCCDADDEDDDC,0,DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED,ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE,AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE,CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB,1,180,180,200,200,180,940
2212947,2024,,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1420,1383,1395,1408,547.9,540.3,550.5,522.2,EDEDCDCEAEDACBDDBCCACAECBCBCBCDBCBABACEECADAA,BECBBCBDDECDDEABBBCBBEECCDACDBDDABADEDBCBACBC,BCDEDECDECCDDCADECDCAADADBEADBBBBEEDCBACADEEB,CBBDBCDBAEACCCBBCADDACCCAECDACABDBDBAADDCBBDE,1,CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB,CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC,CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB,CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE,1,120,160,120,120,80,600
3402715,2024,,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1422,1384,1396,1410,598.8,573.6,567.9,627.7,BECABCBDECCEAEDCBEAEDCBDAEDDEDEBCEEBCEEDDAECB,BADBBCCAEDBDEEDBCCBCBCDECCDCDEEEEABDAECEECEDA,ABCEACACECBBDAEEBEDABCAEDDCCDDACEECDEDEECCBDA,ABBCCBEEBDDCDCBCBDBADCCBDAEBBACCBBDCADACCCBAD,0,BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD,DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA,AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC,DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD,1,120,140,100,100,100,560
2182745,2024,35901726,3550308,São Paulo,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1419,1385,1398,1407,471.9,415.6,472.1,385.3,ACDBCCCECDAECECECBAACCBCAABDBAAADBEADECAEAADA,DEAEBCABDCCAADABCBDABEEABCECEDECAECDBDACEBCEE,DBCBCBDBEECEECADEDDEADDEADDEDCEEABEDCDBDDEBCC,DACBCDCDDDDABBEEEBAEADEBDDAEECBEEDCDAADBCDAAC,1,BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED,CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD,EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB,ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE,1,80,140,100,100,60,480
1026460,2024,35007122,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1421,1386,1397,1409,568.6,458.3,472.3,569.4,DDACDEDCDBCECBEDBDCDEDCADCEAECBAECCCADAACEBEC,ACCEADEABBCDDDDAAEDABCCCBDDCCEAECCDEEBEBCBCDA,CAEABCCADAAA..CDBDDBBDBAACCCEAADBCDEADEBEBEEA,CBCACECEBEDCBDBABDACBCCABECECDDEDADCECBBDEABB,1,DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED,ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE,AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE,CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB,1,80,140,80,100,120,520
524625,2024,35007122,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1421,1386,1397,1409,471.3,413.9,408.9,420.9,DAAACEBCEBAEACADAACCDCEDECBBAAABCDCEABAACEEEB,ADADEEBDAAACBDEBEECDBDAECABCABBEDDBACCEBCBBCE,ACADBABEBBECDBDBDDCEDCADBBEDAACAECBBADEEBDCBD,ADADCDBDBBDCBDEEAECDCDBAEBACDBBEDBBDEEDCDADBA,0,DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED,ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE,AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE,CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB,1,120,140,100,100,100,560
4070396,2024,35912293,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1419,1385,1398,1407,485.0,464.4,517.4,528.2,ACBECDBDAABCBCABCDBDEADCEDBDABBAABBAEECBEDAED,DDACDCAAECACDCAAEBDACECADEAECDDDEADCBACBBDEDD,CEDDDBDCEDEECDABDADDADCEBDAECDBADABBDDBBDDEEB,DAAAEDBAEABBCBDCDACEADEBAEACAEDDBACDEEDAADECC,1,BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED,CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD,EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB,ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE,1,80,60,40,60,0,240
