NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
210062095465,2024,2,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,D,C,F,3,A,B,B,D,D,D,B,B,A,B,B,B,D,A,B,B,D,A
210062095518,2024,7,F,1,3,1,1,5,,0,3523107,Itaquaquecetuba,35,SP,B,E,C,B,4,A,D,A,B,C,A,A,B,B,B,A,A,B,A,B,C,E,A
210062096018,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,G,C,D,3,B,B,A,B,C,B,A,B,A,B,B,A,C,B,B,B,D,A
210062098485,2024,3,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,B,D,3,A,E,A,B,C,A,A,B,B,B,B,A,B,B,B,A,C,A
210062098964,2024,2,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,D,B,3,A,A,A,B,B,A,A,B,A,B,A,A,B,A,B,A,C,A
210062099668,2024,5,F,1,2,1,1,3,,0,3523107,Itaquaquecetuba,35,SP,E,D,D,B,3,A,F,A,C,C,B,A,B,A,B,B,B,C,B,B,B,D,A
210062100794,2024,11,F,1,3,1,1,8,,0,3523107,Itaquaquecetuba,35,SP,B,E,B,C,6,B,D,A,C,D,C,A,B,A,B,B,A,C,A,B,C,E,A
210062101313,2024,3,F,1,3,2,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,B,B,2,A,C,A,B,C,A,A,B,A,B,B,A,B,A,B,B,C,A
210062102893,2024,11,F,1,1,1,1,10,,0,3523107,Itaquaquecetuba,35,SP,E,E,C,C,5,B,F,A,C,D,B,B,B,A,B,B,B,D,A,B,B,E,A
210062103728,2024,2,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,C,E,F,F,3,A,B,A,B,C,A,A,B,B,B,B,A,B,A,B,A,B,A
210062104775,2024,3,M,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,D,F,D,3,A,C,A,B,C,B,A,B,A,A,B,A,B,A,B,B,C,A
210062105819,2024,2,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,C,D,F,B,4,A,B,A,C,D,A,A,B,A,B,B,A,B,B,B,A,E,A
210062107525,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,C,C,4,A,F,B,D,C,C,B,B,A,B,B,B,D,A,B,B,E,A
210062108460,2024,3,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,D,C,F,5,B,D,A,B,B,B,B,B,A,B,B,A,B,A,B,A,D,A
210062108908,2024,3,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,C,E,C,C,5,A,D,A,B,C,B,A,B,A,B,B,A,B,A,B,A,D,A
210062110335,2024,3,M,1,1,1,1,1,,0,3523107,Itaquaquecetuba,35,SP,D,E,C,C,3,A,E,A,C,D,B,A,B,A,B,B,A,B,A,B,B,D,A
