NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
210062705714,2024,2,F,1,3,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,B,E,B,F,3,A,B,A,B,B,A,A,B,A,B,B,A,A,A,B,A,B,A
210062706906,2024,1,F,1,3,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,A,E,C,B,3,B,B,A,C,D,B,A,B,A,B,B,B,D,B,B,B,D,A
210062710163,2024,12,F,1,2,1,1,14,,0,3523107,Itaquaquecetuba,35,SP,B,D,F,B,1,A,A,A,B,B,A,A,B,A,A,B,A,B,A,A,A,B,A
210062710705,2024,14,F,2,1,1,1,18,,0,3523107,Itaquaquecetuba,35,SP,C,C,A,A,3,B,C,A,B,B,B,A,B,A,A,B,A,B,A,B,B,C,A
210062716200,2024,3,M,2,3,0,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,H,F,F,7,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
210062717184,2024,2,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,C,C,4,A,C,A,C,D,B,A,B,A,A,B,A,C,A,B,B,D,A
210062717676,2024,2,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,B,F,F,D,2,B,E,A,B,C,B,A,B,A,B,B,A,B,A,B,B,C,A
210062718051,2024,4,F,1,1,1,1,2,,0,3523107,Itaquaquecetuba,35,SP,E,F,D,D,3,B,I,A,B,C,B,A,B,A,B,B,A,B,B,B,B,D,A
210062718419,2024,5,M,1,1,1,1,2,,0,3523107,Itaquaquecetuba,35,SP,F,E,D,F,4,A,G,A,C,D,C,A,B,A,B,B,B,D,B,B,B,E,A
210062719305,2024,11,F,1,1,1,4,0,,0,3523107,Itaquaquecetuba,35,SP,E,D,C,B,4,B,B,A,B,B,A,A,B,B,B,B,A,B,A,B,A,B,A
210062720528,2024,11,F,1,3,1,1,0,,0,3523107,Itaquaquecetuba,35,SP,E,F,F,B,3,A,B,A,B,C,B,A,B,A,B,B,A,B,A,B,B,C,A
210062720757,2024,2,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,E,C,F,4,B,D,A,C,C,B,A,B,A,B,A,B,C,A,B,C,E,A
210062721720,2024,4,M,0,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,B,D,C,B,2,B,C,A,B,B,A,A,B,A,A,A,A,B,A,B,A,B,A
210062723180,2024,5,F,1,3,1,1,3,,0,3523107,Itaquaquecetuba,35,SP,C,C,B,B,4,B,B,A,B,C,A,A,B,A,B,B,A,B,A,B,A,C,A
210062723811,2024,2,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,E,B,B,3,A,A,A,B,C,A,A,B,A,B,B,A,B,A,B,B,B,A
210062726065,2024,3,F,1,1,1,1,1,,0,3523107,Itaquaquecetuba,35,SP,E,E,C,D,5,A,I,A,C,D,B,A,B,A,B,B,A,B,A,B,B,E,A
210062726115,2024,13,M,1,2,1,1,18,,0,3523107,Itaquaquecetuba,35,SP,D,D,F,F,1,A,C,A,B,B,A,A,B,A,A,A,A,C,A,B,A,B,A
210062726204,2024,6,F,2,3,1,1,4,,0,3523107,Itaquaquecetuba,35,SP,E,F,C,D,5,A,C,A,C,D,C,A,B,A,B,B,B,D,B,B,C,E,A
210062727255,2024,1,F,1,3,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,E,D,C,B,4,A,D,A,B,C,B,A,B,A,B,B,B,B,A,B,B,D,A
210062728737,2024,3,F,1,3,1,1,1,,0,3523107,Itaquaquecetuba,35,SP,E,F,C,D,6,A,E,A,B,C,B,A,B,A,A,A,A,B,A,B,B,D,A
210062729274,2024,5,F,1,2,1,1,3,,0,3523107,Itaquaquecetuba,35,SP,B,C,C,B,3,B,B,A,B,B,A,A,B,A,B,B,A,B,A,B,A,D,A
210062729319,2024,11,F,2,3,1,1,10,,0,3523107,Itaquaquecetuba,35,SP,D,E,C,B,5,A,B,A,B,B,A,A,B,A,B,B,B,B,A,B,A,B,A
210062731808,2024,3,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,G,G,C,B,4,A,H,D,C,C,C,B,C,B,B,B,A,D,B,B,C,E,D
210062732069,2024,4,M,1,1,1,1,0,,0,3523107,Itaquaquecetuba,35,SP,E,E,C,B,5,B,B,A,B,C,C,A,B,A,B,A,B,C,A,B,D,E,F
210062732441,2024,9,M,1,1,1,1,7,,0,3523107,Itaquaquecetuba,35,SP,D,E,C,C,4,B,D,A,C,D,B,A,B,B,B,B,A,C,A,B,C,E,A
210062732696,2024,6,F,1,2,1,1,3,,0,3523107,Itaquaquecetuba,35,SP,B,E,C,B,3,B,B,A,B,B,A,A,B,B,B,B,A,B,A,B,A,D,A
210062732745,2024,2,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,D,D,5,A,D,A,C,D,C,A,B,A,B,B,A,D,A,B,A,E,A
210062733237,2024,2,M,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,F,D,E,2,A,E,A,B,C,B,A,B,A,B,B,A,B,A,B,A,C,A
210062733917,2024,15,F,2,3,1,1,0,,0,3523107,Itaquaquecetuba,35,SP,B,C,C,C,3,B,D,A,B,C,B,A,B,A,B,B,A,A,A,B,B,D,A
210062735212,2024,4,F,1,1,1,1,1,,0,3523107,Itaquaquecetuba,35,SP,B,D,D,D,3,A,F,A,B,D,B,A,B,A,B,B,B,C,A,B,B,D,B
210062735856,2024,6,M,1,3,1,1,4,,0,3523107,Itaquaquecetuba,35,SP,C,E,C,C,2,A,B,A,B,C,A,A,B,A,B,B,A,B,A,B,B,C,A
210062736103,2024,3,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,C,F,E,E,4,A,F,A,B,C,A,A,B,A,B,B,A,B,A,B,B,E,A
210062736371,2024,2,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,E,B,B,5,A,C,A,B,C,A,A,B,A,B,B,A,C,A,B,B,E,A
210062737194,2024,5,F,1,2,1,1,2,,0,3523107,Itaquaquecetuba,35,SP,E,E,C,F,4,A,A,A,B,C,A,A,B,A,A,A,A,B,A,B,A,D,A
210062737435,2024,1,F,1,1,1,4,0,,0,3523107,Itaquaquecetuba,35,SP,F,E,D,D,2,A,E,A,C,C,B,A,B,A,B,B,A,B,A,B,A,B,D
210062737710,2024,3,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,E,F,C,6,A,C,A,B,C,A,A,B,A,B,B,A,C,A,B,B,E,A
210062739818,2024,2,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,C,F,3,A,D,A,B,C,B,A,B,A,B,A,A,B,A,B,B,C,A
210062742616,2024,3,M,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,F,E,C,B,3,A,G,A,B,C,B,A,B,A,B,B,A,D,A,B,B,D,A
210062742770,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,F,D,F,B,4,A,C,A,B,B,A,A,B,A,A,B,A,B,A,B,B,D,A
210062744156,2024,3,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,F,B,3,A,B,A,B,C,A,A,B,A,B,A,A,C,A,B,B,D,A
210062744310,2024,4,M,1,1,1,1,2,,0,3523107,Itaquaquecetuba,35,SP,E,F,B,D,4,A,C,A,C,D,B,B,B,A,B,B,A,C,A,B,B,D,A
210062744927,2024,2,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,C,E,C,B,4,A,E,A,B,C,B,A,B,A,B,A,A,B,A,B,B,E,A
210062744998,2024,3,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,D,B,B,5,A,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,B,A
210062745904,2024,2,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,A,F,B,2,A,B,A,B,B,A,A,B,A,B,B,A,C,A,B,B,C,A
210062750298,2024,2,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,B,B,3,A,E,A,B,C,B,A,B,A,B,B,A,C,A,B,A,C,D
210062750918,2024,2,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,B,B,3,A,B,A,B,C,A,A,B,A,B,B,A,B,A,B,A,D,A
210062750985,2024,4,F,1,1,1,1,1,,0,3523107,Itaquaquecetuba,35,SP,F,F,D,D,3,B,C,A,B,C,B,B,B,B,B,B,B,D,B,B,D,D,A
210062751784,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,D,B,B,3,A,B,A,B,B,A,A,B,A,B,A,A,B,A,B,A,D,A
210062752183,2024,15,F,1,3,1,1,18,,0,3523107,Itaquaquecetuba,35,SP,A,D,B,B,5,B,D,A,D,D,B,A,B,A,B,B,A,C,A,B,B,B,A
210062752903,2024,2,F,1,2,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,B,E,B,B,11,A,C,A,C,C,A,A,B,A,A,A,A,B,A,B,A,E,A
210062753768,2024,5,F,1,3,1,1,3,,0,3523107,Itaquaquecetuba,35,SP,E,G,D,D,3,B,G,A,B,C,B,A,B,A,B,A,A,B,A,B,A,D,A
210062755756,2024,12,M,2,3,1,1,18,,0,3523107,Itaquaquecetuba,35,SP,E,B,C,F,2,B,E,A,B,C,A,A,B,B,B,B,A,B,B,B,A,B,A
210062756615,2024,3,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,A,B,4,B,B,A,B,B,A,A,B,B,A,B,A,B,A,B,A,D,A
210062757430,2024,6,M,1,1,1,1,3,,0,3523107,Itaquaquecetuba,35,SP,H,G,D,D,6,A,H,A,B,C,B,A,B,A,B,B,A,B,A,B,A,E,A
210062757574,2024,2,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,H,F,F,4,B,B,A,C,C,A,A,B,A,B,B,A,C,B,B,A,D,A
210062758212,2024,11,M,1,2,1,1,10,,0,3523107,Itaquaquecetuba,35,SP,B,E,F,F,1,B,B,A,B,C,A,A,B,A,B,B,A,A,A,B,A,B,A
210062758830,2024,9,M,1,3,1,1,7,,0,3523107,Itaquaquecetuba,35,SP,C,C,F,F,3,B,E,A,B,C,A,A,B,A,B,A,A,B,A,B,C,D,A
210062758932,2024,13,M,0,1,1,1,18,,0,3523107,Itaquaquecetuba,35,SP,C,D,C,B,4,B,K,A,C,C,B,A,B,A,B,B,B,D,A,B,B,E,A
210062759076,2024,11,F,1,3,1,1,10,,0,3523107,Itaquaquecetuba,35,SP,H,D,B,B,3,A,B,A,B,B,A,A,B,A,B,B,A,B,B,B,A,B,A
210062760793,2024,10,M,1,3,3,1,7,,0,3523107,Itaquaquecetuba,35,SP,C,B,C,C,4,A,D,A,C,D,A,A,B,A,A,A,A,B,A,B,B,D,A
210062761534,2024,3,M,0,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,F,E,F,F,5,A,E,A,B,C,B,B,B,A,B,B,A,B,A,B,A,C,A
210062764523,2024,9,M,1,1,1,1,7,,0,3523107,Itaquaquecetuba,35,SP,E,B,A,A,3,B,C,A,B,C,B,B,B,A,B,B,B,B,A,B,B,D,A
210062765284,2024,5,M,1,2,1,1,2,,0,3523107,Itaquaquecetuba,35,SP,E,F,C,F,4,B,I,A,C,C,B,A,B,A,B,B,A,B,A,B,B,B,A
210062766433,2024,3,M,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,D,D,5,A,F,A,B,C,C,A,B,A,B,B,B,B,A,B,B,D,A
210062767319,2024,11,M,1,3,1,1,9,,0,3523107,Itaquaquecetuba,35,SP,F,G,E,D,4,B,E,A,B,C,B,B,C,A,B,A,A,B,A,B,C,C,A
210062768667,2024,3,M,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,C,C,B,B,3,A,A,B,C,C,A,A,B,A,B,B,B,C,B,B,B,B,A
210062769222,2024,2,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,E,F,F,6,A,B,A,B,C,A,A,B,A,B,A,A,B,A,B,C,E,A
210062770749,2024,4,F,1,1,1,1,2,,0,3523107,Itaquaquecetuba,35,SP,H,H,F,B,4,B,B,A,B,B,A,A,B,A,A,A,A,B,A,B,B,B,A
210062772993,2024,11,F,1,1,1,1,10,,0,3523107,Itaquaquecetuba,35,SP,B,B,A,A,3,A,B,A,C,C,B,A,B,A,B,B,A,B,A,B,B,B,A
210062774236,2024,8,M,1,3,1,1,6,,0,3523107,Itaquaquecetuba,35,SP,E,C,C,B,4,A,B,A,B,C,A,B,B,A,B,B,A,C,A,B,B,E,A
210062775795,2024,12,M,2,4,1,1,14,,0,3523107,Itaquaquecetuba,35,SP,H,H,C,A,3,B,E,A,B,C,B,A,B,A,B,B,A,B,A,B,B,D,A
210062776552,2024,13,M,2,3,1,1,0,,0,3523107,Itaquaquecetuba,35,SP,E,D,B,B,3,A,B,A,B,B,B,A,B,A,B,A,B,A,A,A,A,C,A
210062776848,2024,6,F,1,3,1,1,3,,0,3523107,Itaquaquecetuba,35,SP,B,E,C,F,4,B,B,A,B,B,A,A,B,A,A,B,A,B,A,B,A,C,A
210062779067,2024,8,M,2,2,1,1,6,,0,3523107,Itaquaquecetuba,35,SP,H,E,F,F,3,B,E,A,B,B,A,A,B,A,B,A,A,B,A,B,B,C,A
210062779171,2024,3,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,H,F,F,3,A,D,A,B,C,B,A,B,A,B,B,A,B,A,B,A,B,A
210062779635,2024,11,F,1,3,1,1,10,,0,3523107,Itaquaquecetuba,35,SP,C,F,C,B,2,A,E,A,B,B,A,A,B,A,B,B,A,B,A,B,A,C,A
210062781324,2024,3,M,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,B,B,C,B,6,A,B,A,B,C,A,A,B,A,A,B,A,B,A,B,A,E,A
210062782778,2024,2,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,E,F,B,3,A,C,A,C,C,A,A,B,A,B,A,A,B,A,B,B,D,A
210062783674,2024,2,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,B,F,C,D,3,A,E,A,C,C,A,A,B,A,B,A,A,A,A,B,B,D,A
210062783869,2024,6,F,0,3,1,1,2,,0,3523107,Itaquaquecetuba,35,SP,B,C,A,F,3,A,B,A,B,C,A,A,B,A,A,A,A,B,A,B,A,D,A
210062785116,2024,2,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,F,E,C,C,3,A,B,A,B,C,B,A,B,A,B,A,A,B,A,B,B,D,A
210062786552,2024,2,F,1,3,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,E,E,C,B,4,B,C,A,C,C,B,A,B,A,B,B,B,A,A,B,B,E,A
210062787735,2024,3,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,C,F,C,2,A,B,A,B,C,A,A,B,A,B,B,A,A,A,B,B,B,A
210062788161,2024,12,F,1,3,1,1,0,,0,3523107,Itaquaquecetuba,35,SP,B,C,F,B,4,A,A,A,B,B,A,A,B,A,A,A,A,B,A,B,A,B,A
210062791096,2024,2,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,C,D,3,A,F,A,C,C,B,A,B,A,B,B,A,C,A,B,B,D,D
210062794707,2024,5,F,1,0,1,1,2,,0,3523107,Itaquaquecetuba,35,SP,E,E,B,B,3,B,C,A,B,B,B,A,B,A,B,B,A,B,A,B,A,C,A
210062795525,2024,13,M,1,1,1,1,16,,0,3523107,Itaquaquecetuba,35,SP,B,E,B,B,1,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,B,B,A
210062796791,2024,3,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,D,C,B,3,A,B,A,B,C,A,A,B,A,B,B,A,B,A,B,B,D,A
210062798688,2024,12,F,1,3,1,1,2,,0,3523107,Itaquaquecetuba,35,SP,A,A,B,B,4,B,C,A,B,B,A,A,B,A,A,A,A,B,A,B,A,B,A
210062798814,2024,3,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,F,E,D,B,4,A,J,A,B,B,B,A,B,A,B,B,A,B,A,B,B,E,D
210062798947,2024,3,M,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,B,B,C,A,4,A,C,A,B,D,B,A,B,A,B,A,A,C,A,B,C,E,A
210062799874,2024,7,M,1,3,1,1,4,,0,3523107,Itaquaquecetuba,35,SP,E,F,F,B,2,B,B,A,B,B,B,A,B,A,A,A,A,B,A,A,A,C,A
210062801630,2024,15,F,0,1,1,1,0,,0,3523107,Itaquaquecetuba,35,SP,E,A,A,A,3,B,D,A,B,B,A,A,B,A,A,A,A,B,A,B,A,B,A
210062802066,2024,3,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,G,B,D,B,3,A,C,A,B,B,A,A,B,A,B,A,A,B,A,B,B,C,A
210062802526,2024,2,F,1,3,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,B,D,B,B,5,A,C,A,B,C,A,A,B,A,B,B,A,A,A,B,A,C,A
210062803428,2024,4,F,1,1,1,1,2,,0,3523107,Itaquaquecetuba,35,SP,B,B,C,B,3,A,B,A,B,C,B,A,B,A,B,B,B,B,A,B,A,B,A
210062804113,2024,1,F,1,1,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,E,E,D,D,4,A,G,A,B,C,B,A,B,A,B,B,A,B,A,B,B,D,D
210062809262,2024,3,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,C,E,C,B,4,A,C,A,B,C,B,A,B,A,A,A,A,B,A,B,A,E,A
210062812267,2024,4,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,H,D,C,4,B,C,A,C,C,B,A,B,A,B,B,B,C,A,B,C,D,C
210062814001,2024,3,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,A,C,C,F,5,B,B,A,B,B,A,A,B,A,B,A,A,B,A,B,B,D,A
210062814002,2024,3,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,D,C,C,3,A,B,A,B,C,B,A,B,A,B,B,B,D,A,B,B,E,A
210062815162,2024,8,M,1,1,1,1,4,,0,3523107,Itaquaquecetuba,35,SP,H,H,C,B,3,A,C,A,B,C,B,A,B,A,B,A,A,B,A,A,B,C,A
210062815821,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,G,D,D,3,A,G,A,B,D,B,A,B,A,B,B,B,B,A,B,A,C,A
210062816361,2024,2,F,1,3,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,C,D,C,C,5,A,G,A,B,D,A,A,B,B,B,A,A,B,A,B,A,D,A
210062817570,2024,6,F,1,3,1,1,3,,0,3523107,Itaquaquecetuba,35,SP,B,C,C,B,7,B,E,A,B,C,A,A,B,A,A,B,A,B,A,B,B,E,A
210062817843,2024,3,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,C,F,F,3,A,B,A,B,B,A,A,B,A,B,B,A,B,A,B,A,B,A
210062819604,2024,2,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,C,C,F,F,4,A,B,A,B,B,A,A,B,A,A,A,A,B,A,B,A,C,A
210062819950,2024,1,F,1,2,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,H,H,F,B,2,A,B,A,B,C,A,A,B,A,B,B,A,B,A,B,B,C,A
210062820117,2024,3,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,G,F,B,4,A,C,A,B,C,B,A,B,A,B,B,B,D,A,B,C,D,A
210062822602,2024,3,M,1,5,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,A,H,F,F,5,A,B,B,C,D,A,A,B,B,A,A,A,B,B,B,B,E,A
210062823454,2024,2,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,B,F,3,A,C,A,B,C,B,A,B,B,B,A,A,A,A,B,B,D,A
210062824837,2024,3,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,C,F,F,6,A,B,A,B,D,A,A,B,A,B,A,A,A,A,B,B,E,A
210062826028,2024,2,F,0,1,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,E,E,C,B,4,A,G,A,D,D,B,B,B,A,B,B,B,C,A,B,B,D,E
210062826587,2024,3,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,H,F,F,7,A,A,B,B,B,A,A,A,A,A,A,A,A,A,B,A,C,A
210062827597,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,C,B,F,B,5,B,A,A,B,C,B,A,B,B,B,B,A,C,B,B,A,E,A
210062828054,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,B,D,F,B,5,A,A,A,B,C,A,A,A,A,B,A,A,A,A,A,A,E,A
210062828640,2024,14,M,1,3,1,1,18,,0,3523107,Itaquaquecetuba,35,SP,C,F,B,D,1,B,D,A,C,C,A,A,B,A,B,A,A,B,A,B,A,B,A
210062829938,2024,4,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,D,C,C,4,B,B,A,B,C,A,B,B,A,B,A,A,B,A,B,A,D,A
210062831587,2024,3,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,E,F,D,2,A,A,A,D,D,B,A,B,A,B,B,A,B,A,B,B,C,A
210062832422,2024,2,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,D,F,C,3,A,C,A,B,B,A,A,B,A,A,A,A,A,B,B,A,D,A
210062835441,2024,2,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,D,C,B,5,B,F,A,B,B,A,A,C,A,B,A,A,B,A,B,B,E,A
210062835805,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,C,C,B,B,3,A,B,A,B,B,A,A,B,A,B,A,A,B,A,A,A,D,A
210062835952,2024,4,M,1,1,1,1,1,,0,3523107,Itaquaquecetuba,35,SP,A,A,C,F,2,A,B,A,B,B,A,A,B,A,A,B,A,B,A,B,A,C,A
210062836944,2024,3,F,1,3,1,2,0,2,0,3523107,Itaquaquecetuba,35,SP,B,B,F,F,3,A,A,A,B,B,B,A,B,A,A,A,A,B,A,B,A,B,A
210062837214,2024,6,F,1,3,1,1,3,,0,3523107,Itaquaquecetuba,35,SP,D,D,F,B,4,A,B,A,B,B,A,A,B,A,A,A,A,B,A,B,A,C,A
210062837488,2024,5,M,1,3,1,1,3,,0,3523107,Itaquaquecetuba,35,SP,B,D,B,B,3,B,D,A,B,C,B,A,B,A,B,B,A,B,A,B,A,D,A
210062837856,2024,6,F,1,3,1,1,3,,0,3523107,Itaquaquecetuba,35,SP,C,E,C,B,3,A,C,A,B,C,A,A,B,A,B,A,A,C,A,B,A,D,A
210062839407,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,E,F,B,3,B,B,A,B,C,A,A,B,A,B,A,A,B,A,B,A,C,A
210062839601,2024,7,M,1,3,1,1,5,,0,3523107,Itaquaquecetuba,35,SP,E,G,C,D,4,A,C,A,B,C,A,A,B,A,B,A,A,B,A,B,B,D,A
210062843663,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,C,B,3,A,D,A,B,C,B,A,B,A,B,A,A,B,A,B,A,D,A
210062843886,2024,2,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,E,C,C,4,A,G,A,C,C,B,A,B,A,B,B,B,C,A,B,B,E,A
210062843960,2024,2,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,G,D,D,3,A,I,A,D,D,D,A,B,B,B,B,B,D,A,B,C,D,E
210062844385,2024,3,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,C,A,4,B,C,A,B,C,B,A,B,B,B,B,B,C,A,B,B,E,A
210062845736,2024,2,F,1,1,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,D,E,B,B,2,B,B,A,B,B,A,A,B,A,B,B,A,B,A,B,A,B,A
210062845899,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,E,B,B,3,A,C,A,B,C,B,A,B,A,B,B,A,B,A,B,A,D,A
210062845940,2024,2,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,G,F,D,4,A,F,A,D,D,C,A,B,A,B,B,A,B,A,B,B,E,A
210062846169,2024,5,M,0,2,1,1,2,,0,3523107,Itaquaquecetuba,35,SP,H,H,C,F,3,B,C,A,B,C,A,A,B,A,B,B,A,B,A,B,B,E,A
210062846720,2024,4,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,D,B,3,A,C,A,B,C,A,A,B,A,B,A,A,A,A,B,B,B,A
210062847381,2024,3,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,F,F,D,B,4,A,C,A,B,C,B,A,B,B,B,B,A,A,A,B,B,C,A
210062847784,2024,2,M,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,E,F,C,7,B,B,A,C,C,A,A,B,A,B,B,A,C,B,B,A,D,A
210062847953,2024,12,M,1,3,1,1,0,,0,3523107,Itaquaquecetuba,35,SP,B,C,F,C,2,B,C,A,B,B,A,A,B,A,A,A,A,B,A,A,A,B,A
210062848703,2024,12,F,1,1,1,1,15,,0,3523107,Itaquaquecetuba,35,SP,E,B,C,B,2,A,B,A,B,C,B,A,B,A,B,B,B,B,A,B,B,B,A
210062849541,2024,3,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,D,D,D,4,B,E,A,B,A,B,A,B,A,B,A,A,B,B,B,C,D,A
210062849546,2024,2,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,D,D,3,A,D,A,B,C,A,A,B,A,B,B,A,C,A,B,B,E,A
210062850013,2024,4,F,1,2,1,1,2,,0,3523107,Itaquaquecetuba,35,SP,B,E,C,D,4,B,H,A,B,B,B,A,B,A,B,B,A,B,A,B,A,E,E
210062850035,2024,3,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,B,E,E,F,4,A,E,A,B,C,B,A,B,A,B,B,B,B,A,B,B,E,A
210062850494,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,B,F,4,A,C,A,B,D,A,A,B,A,B,B,A,B,A,B,A,D,A
210062850495,2024,3,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,B,D,B,4,A,F,A,B,C,B,A,B,A,B,B,A,C,A,B,A,D,A
210062850880,2024,2,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,E,C,C,5,A,D,A,B,C,B,A,B,A,B,A,A,B,A,B,A,E,A
